economy,YR2014,YR2015,YR2016,YR2017,YR2018
DEU,48154.0,47384.0,48480.0,47785.0,46617.0
ESP,2953.0,2799.0,2745.0,2167.0,1525.0
FRA,14500.0,14306.0,14206.0,14415.0,14303.0
HRV,170.0,169.0,175.0,148.0,121.0
ISR,1125.0,1285.0,1300.0,1436.0,1506.0
ITA,8601.0,,8848.0,8643.0,8921.0
JPN,265959.0,258839.0,260244.0,260292.0,253630.0
PRT,722.0,925.0,724.0,644.0,661.0
SWE,1984.0,2038.0,2032.0,1992.0,1838.0
USA,285096.0,288335.0,295327.0,293904.0,285095.0
