economy,YR2014,YR2015,YR2016,YR2017,YR2018
DEU,17811.0,19509.0,19419.0,19927.0,21281.0
ESP,225.0,221.0,177.0,176.0,149.0
FRA,2033.0,1994.0,2012.0,1832.0,1919.0
HRV,30.0,17.0,13.0,11.0,15.0
ISR,5148.0,5623.0,5119.0,5377.0,5857.0
ITA,781.0,,973.0,1031.0,900.0
JPN,60030.0,59882.0,58137.0,58189.0,59937.0
PRT,18.0,20.0,27.0,36.0,29.0
SWE,441.0,390.0,352.0,305.0,442.0
USA,293706.0,301075.0,310244.0,313052.0,312046.0
